ID,Code departement,Commune
4441,4,UVERNET-FOURS
4442,11,PORT-LA-NOUVELLE
4443,45,FLEURY LES AUBRAIS
4444,85,TALMONT-SAINT-HILAIRE
4445,11,CARCASSONNE
4446,80,ROYE
4447,11,GRUISSAN
4448,76,EU
4449,81,SAINT JUERY
4450,77,SAVIGNY-LE-TEMPLE
4451,14,VILLERS-SUR-MER
4452,29,BREST
4453,95,PARMAIN
4454,85,TRANCHE-SUR-MER (LA)
4455,60,CREPY EN VALOIS
4456,78,JOUARS-PONTCHARTRAIN
4457,31,CASTANET TOLOSAN
4458,49,ANGERS
4459,18,BOURGES
4460,80,CAYEUX-SUR-MER
4461,50,GRANVILLE
4462,42,ROANNE
4463,78,SAINT-CYR-L ECOLE
4464,25,BESANCON
4465,75,PARIS 09
4466,92,PUTEAUX
4467,75,PARIS 09
4468,94,IVRY-SUR-SEINE
4469,58,NEVERS
4470,50,SAINT-LO
4471,4,ALLOS
4472,6,LE CANNET
4473,13,MARSEILLE 15EME
4474,13,MARSEILLE 3EME
4475,56,INZINZAC-LOCHRIST
4476,80,AMIENS
4477,42,LE CHAMBON-FEUGEROLLES
4478,82,CASTELSARRASIN
4479,83,HYERES
4480,14,TROUVILLE-SUR-MER
4481,70,VESOUL
4482,4,GREOUX-LES-BAINS
4483,58,FOURCHAMBAULT
4484,38,GRENOBLE
4485,77,MONTEREAU FAULT YONNE
4486,75,PARIS 08
4487,39,ARBOIS
4488,47,AGEN
4489,63,BESSE-ET-SAINT-ANASTAISE
4490,13,MARSEILLE 14EME
4491,38,GRENOBLE
4492,76,DIEPPE
4493,60,CREIL
4494,83,BORMES-LES-MIMOSAS
4495,34,SETE
4496,44,NANTES
4497,24,BERGERAC
4498,13,ALLAUCH
4499,59,CAMBRAI
4500,84,AVIGNON
4501,40,SAINT-PIERRE-DU-MONT
4502,90,BELFORT
4503,60,COMPIEGNE
4504,94,IVRY-SUR-SEINE
4505,95,CERGY
4506,42,ROANNE
4507,1,SAULT-BRENAZ
4508,6,SAINT LAURENT DU VAR
4509,11,BOUTENAC
4510,13,LA CIOTAT
4511,63,RIOM
4512,95,MERY-SUR-OISE
4513,33,BORDEAUX
4514,89,AUXERRE
4515,94,CHENNEVIERES SUR MARNE
4516,30,MARGUERITTES
4517,59,LILLE
4518,13,MARSEILLE 6EME
4519,6,SAINT-ETIENNE-DE-TINEE
4520,78,CARRIERES SOUS POISSY
4521,93,PANTIN
4522,972,TROIS ILETS
4523,50,GRANVILLE
4524,10,SAINTE SAVINE
4525,33,LANGON
4526,86,POITIERS
4527,34,VALRAS-PLAGE
4528,13,MARSEILLE 9EME
4529,95,FRANCONVILLE LA GARENNE
4530,77,MELUN
4531,44,LE CROISIC
4532,59,FACHES THUMESNIL
4533,76,LANQUETOT
4534,69,DECINES-CHARPIEU
4535,76,DIEPPE
4536,42,MONTBRISON
4537,34,AGDE
4538,77,FONTAINEBLEAU
4539,50,SAINT-LO
4540,78,VERNEUIL SUR SEINE
4541,1,BELLEY
4542,13,MARSEILLE 9EME
4543,33,MERIGNAC
4544,26,VALENCE
4545,77,LAGNY-SUR-MARNE
4546,80,LONGUEAU
4547,60,COMPIEGNE
4548,77,FONTAINEBLEAU
4549,38,FROGES
4550,95,MARGENCY
4551,75,PARIS 09
4552,1,OYONNAX
4553,38,HUEZ
4554,6,VALLAURIS
4555,7,GUILHERAND-GRANGES
4556,28,HANCHES
4557,40,BISCARROSSE
4558,40,MONTGAILLARD
4559,91,SOISY-SUR-SEINE
4560,60,CHANTILLY
4561,33,PESSAC
4562,35,BRUZ
4563,44,SAINT-NAZAIRE
4564,22,TADEN
4565,91,YERRES
4566,69,LOZANNE
4567,49,AVRILLE
4568,83,OLLIOULES
4569,91,CORBEIL ESSONNES
4570,49,MURS-ERIGNE
4571,60,GOUVIEUX
4572,42,SAINT-ETIENNE
4573,13,MARSEILLE 8EME
4574,44,LIGNE
4575,1,CHEVRY
4576,22,SAINT-CAST-LE-GUILDO
4577,91,GIF SUR YVETTE
4578,78,MESNIL-SAINT-DENIS (LE)
4579,83,SIX-FOURS-LES-PLAGES
4580,13,MARSEILLE 1ER
4581,38,GRENOBLE
4582,69,VENISSIEUX
4583,13,AUBAGNE
4584,13,MARSEILLE 13EME
4585,91,EPINAY-SOUS-SENART
4586,75,PARIS 18
4587,31,BLAGNAC
4588,79,NIORT
4589,77,TORCY
4590,6,GRASSE
4591,25,JOUGNE
4592,95,ST LEU LA FORET
4593,26,VALENCE
4594,78,MONTESSON
4595,6,VILLENEUVE-LOUBET
4596,13,MARSEILLE 8EME
4597,35,CHAVAGNE
4598,49,AVRILLE
4599,93,LA COURNEUVE
4600,75,PARIS 15
4601,78,JOUY EN JOSAS
4602,35,NOYAL-CHATILLON-SUR-SEICHE
4603,34,JACOU
4604,95,DOMONT
4605,42,SAINT-ETIENNE
4606,30,VILLENEUVE LES AVIGNON
4607,13,MARSEILLE 8EME
4608,13,MARSEILLE 13EME
4609,62,SAINT OMER
4610,72,PARIGNE L EVEQUE
4611,78,VERSAILLES
4612,6,ROQUEBRUNE CAP MARTIN
4613,38,GRENOBLE
4614,33,MERIGNAC
4615,6,BEAULIEU SUR MER
